"This RNA Expression meta-signature was derived from Illumina's BaseSpace Correlation Engine Meta-Analysis app. The analysis aggregated 15 Biosets for SARS day4 post-infection vs control Lung tissue experiments from twelve independent studies (GSE23955, GSE36969, GSE40824, GSE40827, GSE49262, GSE50000, GSE50878, GSE51386, GSE51387, GSE64660, GSE64661, GSE68820) and four strains (SARS-CoV GZ02, SARS-CoV HC-SZ-6103, SARS-CoV Urbani, SARS-CoV MA15). For more go to https://github.com/BioinfoSolutions/Coronavirus_metadata."		
"The export table from the Meta-Analysis was transformed in the following ways to define this SARS-CoV day4 post-infection lung meta-signature. The bioset-specific gene scores were modified with fold change directionality, then the signed bioset-specific gene scores were averaged for each gene across all biosets for a signed overall score. The genes and scores were then imported using the Fold Change (+/- mode) option to use the directional values and rank."		
		
Gene	Specificity	Score Ave
LOC714997	11 out of 15	30.21114171
PVR	10 out of 15	30.20111366
Ccrn4l	9 out of 15	30.1934462
Ttc39b	11 out of 15	30.14517068
Tmem171	8 out of 15	30.11510378
Prim2	10 out of 15	30.00412084
Sult6b1	10 out of 15	29.95490253
Gla	8 out of 15	29.75912878
Ccdc99	10 out of 15	29.68075558
Tnfrsf10b	10 out of 15	29.64698931
Pgf	8 out of 15	29.63082956
Psmb8	9 out of 15	29.5190048
Gda	8 out of 15	29.49015327
Akr1b8	9 out of 15	29.48572106
Atad2	11 out of 15	29.41037248
Sap30	10 out of 15	29.3946623
Itga5	8 out of 15	29.38536559
Dtx4	11 out of 15	29.37477907
LOC715367	8 out of 15	29.28559725
Dpep2	9 out of 15	29.23647309
Ndc80	8 out of 15	29.22024187
Tlr6	10 out of 15	29.18614316
Cldn2	7 out of 15	29.15924087
Tmem37	12 out of 15	29.15828029
Nup43	11 out of 15	29.13134902
Ergic1	9 out of 15	29.11130885
FABP7	10 out of 15	29.09044912
2700099C18Rik	9 out of 15	29.07102659
C3	9 out of 15	29.05439995
Clmp	11 out of 15	29.03351111
H2-Q2	9 out of 15	29.0228505
Apol7a	7 out of 15	28.93418618
Hmmr	12 out of 15	28.83752348
4930547N16Rik	12 out of 15	28.82267772
Pdcd1	8 out of 15	28.81403017
LOC694428	10 out of 15	28.7620708
Ubfd1	13 out of 15	28.70489663
Pola1	10 out of 15	28.63529306
2010317E24Rik	9 out of 15	28.5860224
Lrdd	14 out of 15	28.48019581
Tacstd2	12 out of 15	28.45378418
Impad1	13 out of 15	28.41403141
Apol6	8 out of 15	28.36902037
Psmc3ip	15 out of 15	28.35544603
1190002F15Rik	7 out of 15	28.32809665
Lilra6	10 out of 15	28.31486123
Rrm1	11 out of 15	28.3033053
LOC716474	10 out of 15	28.27559538
Naip2	10 out of 15	28.25663786
Rrbp1	11 out of 15	28.20477946
Gpr35	8 out of 15	28.08611178
Lap3	11 out of 15	28.03679683
Col1a1	11 out of 15	28.00303481
Sh3pxd2b	9 out of 15	27.91074711
Slc26a4	7 out of 15	27.73821265
Mybl2	10 out of 15	27.69011824
Gba	10 out of 15	27.67490582
Gzmb	9 out of 15	27.65647247
Prim1	9 out of 15	27.6074048
LOC709764	12 out of 15	27.58727595
Gm5086	7 out of 15	27.5371459
Gosr2	15 out of 15	27.50811323
Trim69	10 out of 15	27.40025253
Fkbp14	9 out of 15	27.37641664
Ms4a4d	9 out of 15	27.34854791
Tgm2	9 out of 15	27.22830716
Parp14	10 out of 15	27.11497315
Rad54l	9 out of 15	27.1054389
Uck2	8 out of 15	27.08704394
Wdr77	11 out of 15	27.08565486
Adam8	9 out of 15	27.06658501
Tap1	7 out of 15	27.04136971
Gsg2	10 out of 15	27.0358392
Gpr88	8 out of 15	26.93326352
Fbxo5	9 out of 15	26.92272362
Bcl2a1c	9 out of 15	26.83799325
Capn6	9 out of 15	26.80594979
Fancd2	10 out of 15	26.80419458
Depdc1b	8 out of 15	26.80363974
Ndnf	10 out of 15	26.79993454
