"This RNA Expression meta-signature was derived from Illumina's BaseSpace Correlation Engine Meta-Analysis app. The analysis aggregated 15 Biosets for SARS day7 post-infection vs control Lung tissue experiments from ten independent studies (GSE40824, GSE40827, GSE49262, GSE49263, GSE50000, GSE50878, GSE51386, GSE51387, GSE64660, GSE68820) and two strains (SARS-CoV MA15, icSARS-CoV). For more go to https://github.com/BioinfoSolutions/Coronavirus_metadata."		
"The export table from the Meta-Analysis was transformed in the following ways to define this SARS-CoV day7 post-infection lung meta-signature. The bioset-specific gene scores were modified with fold change directionality, then the signed bioset-specific gene scores were averaged for each gene across all biosets for a signed overall score. The genes and scores were then imported using the Fold Change (+/- mode) option to use the directional values and rank."""		
		
Gene	Specificity	Score Ave
Vsig2	10 out of 11	-25.69250696
Spag16	9 out of 11	-25.68628544
Ang4	10 out of 11	-25.65215812
Kidins220	10 out of 11	-25.61457539
Thbs3	9 out of 11	-25.60081719
Fhl1	10 out of 11	-25.59716506
9230104L09Rik	9 out of 11	-25.59553363
Tmem116	10 out of 11	-25.58596103
AK048091	10 out of 11	-25.56895623
9530003J23Rik	9 out of 11	-25.56490455
Wdr65	10 out of 11	-25.54789306
Col17a1	9 out of 11	-25.52281663
Tmtc1	10 out of 11	-25.51528867
Ccdc33	10 out of 11	-25.51216062
Gnao1	10 out of 11	-25.50180639
Thrb	10 out of 11	-25.50007269
Stmn2	9 out of 11	-25.49426871
Cd209a	7 out of 11	-25.47990774
Ttc29	9 out of 11	-25.44492666
Bcl7a	10 out of 11	-25.43898953
Selenbp1	9 out of 11	-25.37363555
Prkce	10 out of 11	-25.35367033
Atp2b2	9 out of 11	-25.3505145
Dnahc7c	10 out of 11	-25.34907224
Abca5	10 out of 11	-25.33353416
Kif26b	9 out of 11	-25.32375219
Fez1	9 out of 11	-25.30825457
Tln2	11 out of 11	-25.30364922
Mob3b	10 out of 11	-25.2846284
Echdc3	11 out of 11	-25.23266426
Tmtc2	10 out of 11	-25.2240335
Abhd14b	10 out of 11	-25.21903268
Ttc6	9 out of 11	-25.21487449
8-Sep	9 out of 11	-25.17032549
Ccl27a	10 out of 11	-25.16387118
1190002N15Rik	9 out of 11	-25.15840921
Pex5l	11 out of 11	-25.14916517
Pgm2l1	10 out of 11	-25.14897121
Pla2g1b	7 out of 11	-25.13627456
Selenbp2	9 out of 11	-25.13462227
Mill2	10 out of 11	-25.13291458
Cadps2	10 out of 11	-25.1176286
Cyth3	10 out of 11	-25.04141379
1520402A15Rik	11 out of 11	-25.03819623
Glp1r	9 out of 11	-25.03441767
Azgp1	8 out of 11	-25.02840564
Glt8d2	10 out of 11	-25.0059022
Adam28	10 out of 11	-25.00379771
Bdnf	9 out of 11	-25.00376088
1300014I06Rik	10 out of 11	-24.99074564
Mmp28	9 out of 11	-24.93909123
